Day,Stage,VPD,Humidity,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),EC,PH,Veg,Fruit
1,Seedling,,,20,45,5,45,0,120,0.7,6,1,0
2,Seedling,,,20,45,5,45,0,126.97,0.7,6,1,0
3,Seedling,,,20,45,5,45,0,133.94,0.7,6,1,0
4,Seedling,,,20,45,5,45,0,140.9,0.7,6,1,0
5,Juvenile,,,20,45,5,41.77,3.23,180.13,0.7,6,1,0
6,Juvenile,,,20,45,5,40,5,203.1,0.7,6,1,0
7,Juvenile,,,20,45,5,40,5,207.57,0.7,6,1,0
8,Juvenile,,,20,45,5,40,5,212.03,0.7,6,1,0
9,Juvenile,,,20,45,5,40,5,216.5,0.7,6,1,0
10,Juvenile,,,20,45,5.9,40,5,220.97,0.7,6,1,0
11,Juvenile,,,20,45,7,40,5,225.43,0.7,6,1,0
12,Juvenile,,,20,45,7,40,5,229.9,0.7,6,1,0
13,Juvenile,,,20,45,7,40,5,234.37,0.7,6,1,0
14,Juvenile,,,20,45,7,40,5,238.83,0.7,6,1,0
15,Juvenile,,,20,45,7,40,5,243.3,0.7,6,1,0
16,Juvenile,,,20,45,7,40,5,247.77,0.7,6,1,0
17,Juvenile,,,20,36.29,7,42.9,5,250,0.7,6,1,0
18,Growth,,,20,30.29,7,45.29,5,252.85,1,6,1,0
19,Growth,,,20,30.73,7,45.73,5,257.32,1,6,1,0
20,Growth,,,20,31.18,7,46.18,5,261.79,1,6,1,0
21,Growth,,,20,31.63,7,46.63,5,266.25,1,6,1,0
22,Growth,,,20,32.07,7,47.07,5,270.72,1,6,1,0
23,Growth,,,20,32.52,7,47.52,5,275.19,1,6,1,0
24,Growth,,,20,32.97,7,47.97,5,279.65,1,6,1,0
25,Growth,,,20,33.41,7,48.41,5,284.12,1,6,1,0
26,Growth,,,20,33.86,7,48.86,5,288.59,1,6,1,0
27,Growth,,,20,34.31,7.58,49.31,5,293.05,1,6,1,0
28,Growth,,,20,34.75,10,49.75,5,297.52,1,6,1,0
29,Growth,,,20,35,10,44.84,5,300,1,6,1,0
30,Late Growth,,,20,35.56,10,40.56,5,305.65,1,6,1,0
31,Late Growth,,,20,36.53,10,41.53,5,315.32,1,6,1,0
32,Late Growth,,,20,37.5,10,42.5,0,325,1,6,1,0
