Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,8,20,45,10,45,5,138.89,0.9,65,1,5.8,1,0
2,Seedling,8.24,20,45,10,45,5,142.97,0.9,65,1.01,5.8,1,0
3,Seedling,8.47,20,45,10,45,5,147.06,0.91,65,1.02,5.8,1,0
4,Seedling,8.71,20,45,10,45,5,151.14,0.91,65,1.04,5.8,1,0
5,Seedling,8.94,20,45,10,43.82,1.18,155.23,0.91,65,1.05,5.8,1,0
6,Seedling,9.18,20,45,10,40,5,159.31,0.91,65,1.06,5.8,1,0
7,Seedling,9.41,20,45,10,40,5,163.4,0.92,65,1.07,5.8,1,0
8,Seedling,9.65,20,45,10,40,5,167.48,0.92,65,1.08,5.8,1,0
9,Seedling,9.88,20,45,10,40,5,171.57,0.92,65,1.09,5.8,1,0
10,Seedling,10.12,20,45,10,40,5,175.65,0.93,65,1.11,5.8,1,0
11,Seedling,10.35,20,45,10,40,5,179.74,0.93,65,1.12,5.8,1,0
12,Seedling,10.59,20,45,10,40,5,183.82,0.93,65,1.13,5.8,1,0
13,Seedling,10.82,20,45,10,40,5,187.91,0.94,65,1.14,5.8,1,0
14,Seedling,11.06,20,45,10,40,5,191.99,0.94,65,1.15,5.8,1,0
15,Seedling,11.29,20,45,10,40,5,196.08,0.94,65,1.16,5.8,1,0
16,Vegetative,12.5,20,30.84,18.32,45.84,5,217.01,0.96,65,1.45,5.8,1,0
17,Vegetative,12.75,20,31.24,17.52,46.24,5,221.35,0.97,65,1.47,5.8,1,0
18,Vegetative,13,20,31.65,16.7,46.65,5,225.69,0.97,65,1.5,5.8,1,0
19,Vegetative,13.25,20,32.06,15.88,47.06,5,230.03,0.98,65,1.52,5.8,1,0
20,Vegetative,13.5,20,32.47,15.06,47.47,5,234.38,0.99,65,1.55,5.8,1,0
21,Vegetative,13.75,20,32.87,14.26,47.87,5,238.72,0.99,65,1.57,5.8,1,0
22,Vegetative,14,20,33.28,13.44,48.28,5,243.06,1,65,1.6,5.8,1,0
23,Vegetative,14.25,20,33.69,12.62,48.69,5,247.4,1.01,65,1.62,5.8,1,0
24,Vegetative,14.5,20,34.1,11.8,49.1,5,251.74,1.01,65,1.65,5.8,1,0
25,Vegetative,14.75,20,34.5,11,49.5,5,256.08,1.02,65,1.68,5.8,1,0
26,Vegetative,15,20,34.91,10.18,49.91,5,260.42,1.02,65,1.7,5.8,1,0
27,Vegetative,15.25,20,35,18.24,41.76,5,264.76,1.03,65,1.73,5.8,1,0
28,Vegetative,15.5,20,35.74,18.52,40.74,5,269.1,1.04,65,1.75,5.8,1,0
29,Vegetative,15.75,20,36.62,16.76,41.62,5,273.44,1.04,65,1.77,5.8,1,0
30,Vegetative,16,20,37.5,20,42.5,5,277.78,1.05,65,1.8,5.8,1,0
